chr,start,end,value
contig1,612582,614620,10
contig1,615674,618999,-10
contig1,619719,625003,-10
contig1,625384,627815,10
contig1,627904,631522,10
contig1,631671,635071,-10
contig1,636889,638541,-10
contig1,638737,644441,10
contig1,645414,646097,-10
contig1,646505,647061,10
contig1,647644,649514,-10
contig1,649721,652676,10
contig1,653453,657081,10
contig1,657585,660553,-10
contig1,660762,661839,10
contig1,662673,665804,10
contig1,666539,667304,10
contig1,668229,674275,10
contig1,675094,676095,10
contig1,681222,684444,10
contig1,688741,693245,-10
contig1,693748,697572,10
contig1,698853,704061,-10
contig1,704415,705407,10
contig1,706107,706851,-10
contig1,707457,708041,10
contig1,708410,715367,-10
contig1,717410,717968,10
contig1,718143,718795,-10
contig1,730360,731133,10
contig1,732578,737677,-10
contig1,740228,749619,-10
contig1,750140,756350,-10
contig1,757061,759760,10
contig1,761101,762623,-10
contig1,762854,766913,10
contig1,767591,769700,10
contig1,772250,774957,-10
contig1,775347,777448,10
contig1,778182,780698,10
contig1,781357,783292,10
contig1,787245,791727,-10
contig1,792099,793842,-10
contig1,794046,797768,10
contig1,804512,806343,10
contig1,808077,811187,-10
contig1,812459,817161,-10
contig1,817956,818875,10
contig1,819958,822727,-10
contig1,823225,827465,-10
contig1,828239,828749,10
contig1,832564,834986,-10
contig1,835175,837133,10
contig1,837480,838535,-10
contig1,838740,840179,10
contig1,840822,843240,-10
contig1,843713,846449,-10
contig1,847086,848144,-10
contig1,848361,849401,10
contig1,849633,851662,-10
contig1,851827,854838,10
contig1,854887,856686,-10
contig1,856994,858687,10
contig1,858932,861259,-10
contig1,861574,863074,10
contig1,864180,866595,-10
contig1,866821,867585,10
contig1,871295,871787,10
contig1,872955,875757,10
contig1,876224,878351,10
contig1,881550,882716,-10
contig1,883582,891032,-10
contig1,891554,895308,10
contig1,895984,898155,10
contig1,899040,904400,10
contig1,905185,905998,10
contig1,907098,910430,10
contig1,911794,913682,-10
contig1,920306,923590,-10
contig1,924160,925763,-10
contig1,926778,934716,-10
contig1,935239,936938,-10
contig1,937526,939059,10
contig1,950560,963978,10
contig1,967995,968386,-10
contig1,968415,969478,-10
contig1,969608,970965,-10
contig1,973415,974008,-10
contig1,974310,976136,-10
contig1,977154,977646,-10
contig1,977703,978047,-10
contig1,980125,980670,-10
contig1,985041,985813,-10
contig1,987886,994311,-10
contig1,996056,997225,10
contig1,997286,998587,10
contig1,1001544,1006353,10
contig1,1010597,1013197,10
contig1,1013835,1015202,-10
contig1,1016574,1019017,10
contig1,1020928,1024800,10
contig1,1025734,1026888,-10
contig1,1027407,1031756,10
contig1,1035194,1038010,-10
contig1,1038562,1042308,10
contig1,1042681,1043810,-10
contig1,1043943,1045515,10
contig1,1045914,1051473,10
contig1,1052410,1053853,-10
contig1,1054096,1055106,10
contig1,1056493,1057827,10
contig1,1058603,1064586,-10
contig1,1065008,1065844,10
contig1,1067204,1068197,-10
contig1,1068558,1069497,10
contig1,1070140,1072320,10
contig1,1072843,1074249,10
contig1,1076022,1079810,-10
contig1,1080835,1082847,-10
contig1,1083068,1085081,10
contig1,1085601,1087648,10
contig1,1089444,1098022,10
contig1,1102108,1104237,10
contig1,1106735,1107677,10
contig1,1110841,1112840,10
contig1,1123085,1125210,10
contig1,1126292,1127396,-10
contig1,1128276,1130895,-10
contig1,1131119,1133003,10
contig1,1136455,1138758,-10
contig1,1138918,1139610,10
contig1,1141762,1143639,10
contig1,1146682,1149036,-10
contig1,1149403,1152116,10
contig1,1153487,1155526,-10
contig1,1158653,1160328,-10
contig1,1160785,1162105,10
contig1,1168169,1168720,-10
contig1,1170204,1173859,-10
contig1,1175123,1176914,-10
contig1,1178509,1182662,-10
contig1,1184563,1189565,-10
contig1,1192103,1193918,10
contig1,1195270,1196139,10
contig1,1197082,1199494,10
contig1,1201880,1204807,-10
contig1,1206991,1208825,-10
contig1,1209547,1211072,-10
contig1,1211242,1214179,10
contig1,1215128,1215687,-10
contig1,1215870,1222078,10
contig1,1222527,1225289,10
contig1,1226107,1228513,10
contig1,1229528,1231506,10
contig1,1232708,1233719,10
contig1,1236384,1237453,-10
contig1,1240421,1245592,-10
contig1,1266915,1267546,10
contig1,1273260,1274270,-10
contig1,1274972,1278869,10
contig1,1279238,1280632,-10
contig1,1281051,1286064,10
contig1,1287042,1288175,-10
contig1,1288969,1289634,-10
contig1,1290738,1291541,10
contig1,1294465,1300228,10
contig1,1300818,1302982,10
contig1,1303304,1303915,-10
contig1,1304797,1306091,-10
contig1,1306289,1307513,10
contig1,1308483,1308884,-10
contig1,1309133,1311513,10
contig1,1312176,1313184,-10
contig1,1313539,1315568,10
contig1,1316592,1317422,-10
contig1,1318797,1319946,10
contig1,1320127,1322463,-10
contig1,1322652,1324652,10
contig1,1325512,1327762,10
contig1,1330493,1332493,-10
contig1,1332765,1334125,10
contig1,1334898,1336581,-10
contig1,1336884,1340638,10
contig1,1341872,1345307,-10
contig1,1346261,1348700,10
contig1,1350816,1353319,10
contig1,1353752,1355934,-10
contig1,1356153,1359474,10
contig1,1359900,1362679,10
contig1,1363317,1365012,-10
contig1,1366913,1367404,-10
contig1,1367531,1368387,10
contig1,1369421,1369744,-10
contig1,1376636,1380499,-10
contig1,1381163,1382413,10
contig1,1383252,1386991,-10
contig1,1388915,1390175,-10
contig1,1390687,1392236,-10
contig1,1392528,1394708,10
contig1,1395887,1396813,10
contig1,1397977,1402895,-10
contig1,1409115,1410236,-10
contig1,1411354,1412132,-10
contig1,1429220,1431177,10
contig1,1433688,1435145,-10
contig1,1435534,1441309,10
contig1,1441785,1443884,10
contig1,1446255,1450480,10
contig1,1452209,1454490,-10
contig1,1454980,1457746,10
contig1,1460106,1461159,10
contig1,1463487,1464748,-10
contig1,1466613,1469093,10
contig1,1469624,1473697,10
contig1,1474299,1476892,-10
contig1,1477065,1480935,10
contig1,1481312,1483319,-10
contig1,1483593,1486415,10
contig1,1486711,1492329,10
contig1,1492924,1493748,-10
contig1,1493951,1494880,10
contig1,1496287,1507368,10
contig1,1507942,1509077,-10
contig1,1509327,1512726,10
contig1,1519960,1520484,-10
contig1,1521581,1525111,-10
contig1,1527179,1530087,-10
contig1,1530787,1533259,-10
contig1,1533974,1535053,10
contig1,1536011,1539554,-10
contig1,1538683,1542274,10
contig1,1543025,1544498,-10
contig1,1544951,1550436,10
contig1,1551253,1552369,10
contig1,1552887,1554362,10
contig1,1555369,1558147,-10
contig1,1558668,1560183,10
contig1,1561221,1563131,10
contig1,1565326,1567459,-10
contig1,1569365,1570918,-10
contig1,1571616,1572689,-10
contig1,1573284,1574681,-10
contig1,1575093,1575974,10
contig1,1576422,1578039,-10
contig1,1578161,1582656,10
contig1,1653773,1662819,-10
contig1,1663381,1666583,10
contig1,1667086,1669036,-10
contig1,1669472,1671112,-10
contig1,1672585,1675905,-10
contig1,1676070,1678055,10
contig1,1680301,1684390,-10
contig1,1684625,1685298,10
contig1,1686669,1688930,-10
contig1,1689225,1693224,10
contig1,1694083,1694687,-10
contig1,1706963,1708700,-10
contig1,1716110,1718553,-10
contig1,1718878,1722017,10
contig1,1725625,1730198,-10
contig1,1731334,1733424,-10
contig1,1734281,1735981,-10
contig1,1737364,1738652,10
contig1,1738857,1741301,-10
contig1,1742614,1748962,10
contig1,1750191,1754502,-10
contig1,1755124,1762782,10
contig1,1764843,1766785,10
contig1,1769487,1774197,-10
contig1,1775893,1778116,-10
contig1,1783342,1790215,-10
contig1,1790451,1792498,10
contig1,1799612,1803627,-10
contig1,1803827,1807997,10
contig1,1808708,1810724,10
contig1,1812233,1815796,-10
contig1,1816030,1816560,10
contig1,1817729,1818659,10
contig1,1820090,1824965,-10
contig1,1827735,1829158,10
contig1,1832254,1832511,10
contig1,1833368,1834852,10
contig1,1835544,1836524,-10
contig1,1837330,1839437,10
contig1,1840047,1841560,-10
contig1,1842149,1845767,10
contig1,1847127,1847805,-10
contig1,1848390,1852678,-10
contig1,1854940,1861580,10
contig1,1864930,1867775,10
contig1,1871133,1873005,-10
contig1,1873256,1874476,10
contig1,1874558,1877181,10
contig1,1878496,1881273,-10
contig1,1883800,1887830,-10
contig1,1888878,1889726,10
contig1,1891318,1892433,10
contig1,1895443,1897587,-10
contig1,1898811,1903919,-10
contig1,1905081,1907042,10
contig1,1908794,1910028,-10
contig1,1910261,1913061,10
contig1,1920653,1922322,-10
contig1,1922948,1925753,10
contig1,1927024,1930510,10
contig1,1932977,1933250,10
contig1,1933649,1936341,-10
contig1,1937277,1938194,-10
contig1,1938657,1940853,10
contig1,1941586,1943205,10
contig1,1943565,1944321,-10
contig1,1944867,1946749,10
contig1,1947724,1948089,-10
contig1,1948741,1951413,10
contig1,1952645,1957412,-10
contig1,1958326,1959451,-10
contig1,1961133,1963091,-10
contig1,1963931,1965626,10
contig1,1966156,1967466,-10
contig1,1967991,1969413,10
contig1,1969929,1971498,10
contig1,1974104,1976320,-10
contig1,1977145,1981307,10
contig1,1984308,1986371,10
contig1,1987323,1987904,-10
contig1,1989323,1993869,-10
contig1,1994567,1999030,-10
contig1,1999681,2005595,10
contig1,2007168,2009032,-10
contig1,2009264,2010622,10
contig1,2011258,2012169,10
contig1,2012787,2015837,-10
contig1,2016090,2019824,10
contig1,2020521,2021982,-10
contig1,2022041,2024016,10
contig1,2026236,2028366,-10
contig1,2029197,2030301,10
contig1,2030776,2032009,-10
contig1,2032580,2035400,10
contig1,2035573,2037311,-10
contig1,2037575,2042954,10
contig1,2043774,2046760,-10
contig1,2047157,2049185,10
contig1,2051551,2052743,-10
contig1,2057815,2059394,-10
contig1,2059864,2063651,-10
contig1,2063821,2070002,10
contig1,2070773,2071909,10
contig1,2073456,2074675,10
contig1,2075302,2084348,10
contig1,2085330,2086832,10
contig1,2087752,2090814,-10
contig1,2096860,2098534,10
contig1,2099009,2100663,-10
contig1,2104837,2108722,10
contig1,2109177,2111063,10
contig1,2114128,2115583,-10
contig1,2116135,2119438,10
contig1,2132299,2134746,10
contig1,2144348,2149478,-10
contig1,2158363,2160481,10
contig1,2162913,2165555,10
contig1,2166762,2168818,-10
contig1,2170925,2172991,10
contig1,2187358,2192115,10
contig1,2192456,2193990,10
contig1,2194190,2194879,-10
contig1,2195938,2196510,-10
contig1,2198052,2199258,10
contig1,2200094,2204587,-10
contig1,2207438,2209604,-10
contig1,2210279,2211576,-10
contig1,2211805,2212356,10
contig1,2213172,2216441,10
contig1,2217849,2219849,-10
contig1,2221719,2222572,10
contig1,2229589,2231353,-10
contig1,2232407,2237084,-10
contig1,2238892,2240202,-10
contig1,2240518,2242613,10
contig1,2243075,2244019,-10
contig1,2246710,2254777,-10
contig1,2256186,2257816,10
contig1,2258900,2262247,10
contig1,2264327,2265304,-10
contig1,2265619,2269131,10
contig1,2275548,2279110,-10
contig1,2280454,2281495,-10
contig1,2282204,2285856,-10
contig1,2287213,2289928,10
contig1,2290724,2292507,-10
contig1,2293688,2296058,-10
contig1,2296731,2299651,10
contig1,2301569,2304060,-10
contig1,2316886,2324253,10
contig1,2325108,2326419,-10
contig1,2327129,2334969,-10
contig1,2336100,2337509,10
contig1,2344633,2346053,-10
contig1,2346700,2348797,-10
contig1,2348997,2350092,10
contig1,2350187,2351383,-10
contig1,2351566,2353964,10
contig1,2360170,2360929,10
contig1,2362223,2363708,10
contig1,2364216,2365911,10
contig1,2366993,2369395,-10
contig1,2369691,2375727,10
contig1,2384358,2386663,-10
contig1,2386852,2388819,10
contig1,2389607,2395599,-10
contig1,2397820,2399486,-10
contig1,2400342,2402892,10
contig1,2404480,2408595,10
contig1,2410937,2412995,-10
contig1,2416878,2418088,-10
contig1,2420276,2423110,10
contig1,2424003,2424755,-10
contig1,2425240,2427453,10
contig1,2428159,2433001,10
contig1,2443275,2444237,-10
contig1,2444741,2447430,10
contig1,2448178,2449130,-10
contig1,2449532,2452377,-10
contig1,2452569,2455919,10
contig1,2457363,2460326,-10
contig1,2460630,2462944,10
contig1,2463898,2464961,-10
contig1,2465966,2467702,10
contig1,2469339,2470460,-10
contig1,2470723,2473007,10
contig1,2473265,2478816,-10
contig1,2479235,2483043,10
contig1,2483681,2486358,10
contig1,2487911,2490798,10
contig1,2491935,2500016,10
contig1,2501306,2502558,10
contig1,2504495,2505030,10
contig1,2512284,2514052,10
contig1,2515071,2515773,-10
contig1,2515956,2516559,-10
contig1,2522958,2526921,-10
contig1,2527194,2528927,10
contig1,2535610,2537469,10
contig1,2538734,2540197,10
contig1,2545860,2549191,-10
contig1,2549575,2551469,10
contig1,2553304,2555522,10
contig1,2555868,2559048,-10
contig1,2559217,2563885,10
contig1,2564841,2565506,-10
contig1,2566626,2567932,-10
contig1,2568154,2568980,10
contig1,2569388,2574262,-10
contig1,2575360,2579239,10
contig1,2581506,2584017,10
contig1,2589023,2592553,10
contig1,2595709,2596996,-10
contig1,2597269,2597892,10
contig1,2598721,2600619,-10
contig1,2601679,2603695,-10
contig1,2604163,2606654,-10
contig1,2607293,2609741,10
contig1,2611422,2613029,10
contig1,2613770,2615177,10
contig1,2616880,2618414,10
contig1,2619083,2620368,-10
contig1,2622154,2624574,-10
contig1,2625174,2627070,10
contig1,2629545,2631112,10
contig1,2634069,2640094,-10
contig1,2641917,2644634,-10
contig1,2645290,2647349,10
contig1,2648193,2652542,-10
contig1,2653209,2654573,10
contig1,2655252,2656674,-10
contig1,2657499,2663911,-10
contig1,2664062,2665622,10
contig1,2667508,2668532,-10
contig1,2669089,2670113,10
contig1,2670491,2673112,10
contig1,2674338,2677327,10
contig1,2677894,2679601,-10
contig1,2682285,2684233,-10
contig1,2684532,2687058,10
contig1,2687775,2689385,-10
contig1,2690134,2693263,10
contig1,2693452,2697775,-10
contig1,2701295,2701945,-10
contig1,2702609,2703492,-10
contig1,2704085,2705468,10
contig1,2708656,2709416,-10
contig1,2709631,2712821,10
contig1,2713269,2714558,-10
contig1,2715604,2716446,-10
contig1,2716674,2720233,10
contig1,2720751,2727675,10
contig1,2729397,2730373,-10
contig1,2731111,2733969,-10
contig1,2734334,2736290,10
contig1,2756096,2758339,10
contig1,2760117,2765554,-10
contig1,2766810,2769802,-10
contig1,2771007,2774946,10
contig1,2778009,2780425,-10
contig1,2780781,2781823,10
contig1,2782725,2784404,-10
contig1,2784760,2785652,10
contig1,2785852,2787343,-10
contig1,2787475,2789732,10
contig1,2791485,2794288,-10
contig1,2797740,2807358,-10
contig1,2809042,2809924,-10
contig1,2810191,2811222,10
contig1,2811693,2815520,10
contig1,2815911,2817467,-10
contig1,2818070,2820773,10
contig1,2822081,2840683,-10
contig1,2840947,2842247,-10
contig1,2842704,2843951,-10
contig1,2844350,2845422,10
contig1,2847964,2851732,-10
contig1,2853521,2857465,-10
contig1,2857779,2859975,-10
contig1,2865422,2868156,-10
contig1,2868817,2870865,10
contig1,2872822,2879931,10
contig1,2880696,2883716,10
contig1,2885429,2892428,-10
contig1,2893371,2894538,-10
contig1,2894919,2896924,10
contig1,2901021,2904717,-10
contig1,2905434,2905925,-10
contig1,2906096,2909593,10
contig1,2910050,2911204,-10
contig1,2911620,2912427,-10
contig1,2916594,2917855,-10
contig1,2919451,2920328,-10
contig1,2921100,2924007,-10
contig1,2924227,2926974,10
contig1,2927461,2928180,10
contig1,2928689,2930426,10
contig1,2930576,2931744,-10
contig1,2931883,2934937,10
contig1,2935431,2937358,-10
contig1,2937486,2938782,10
contig1,2939372,2940880,-10
contig1,2941967,2943827,10
contig1,2944665,2945386,10
contig1,2945679,2957499,-10
contig1,2957864,2959930,10
contig1,2965241,2967052,-10
contig1,2970355,2984733,-10
contig1,2995874,2997899,-10
contig1,3001061,3004880,-10
contig1,3005552,3007716,-10
contig1,3008046,3009668,10
contig1,3010663,3012578,-10
contig1,3014112,3014411,-10
contig1,3015835,3023257,-10
contig1,3023518,3025780,10
contig1,3026678,3028056,10
contig1,3030382,3033708,10
contig1,3034364,3035485,-10
contig1,3036084,3037075,-10
contig1,3039065,3040003,-10
contig1,3040687,3041721,10
contig1,3042146,3045102,-10
contig1,3048853,3052039,-10
contig1,3053565,3055179,-10
contig1,3055681,3066517,-10
contig1,3066805,3068387,10
contig1,3069003,3070116,-10
contig1,3071010,3073151,-10
contig1,3073787,3074535,-10
contig1,3074747,3085534,10
contig1,3087007,3088189,-10
contig1,3088795,3089625,10
contig1,3090058,3090913,-10
contig1,3091638,3093604,-10
contig1,3094237,3097330,10
contig1,3098617,3100311,10
contig1,3101647,3103840,10
contig1,3103990,3107020,-10
contig1,3107523,3110061,-10
contig1,3111385,3113726,-10
contig1,3114485,3116961,-10
contig1,3117229,3118387,10
contig1,3118929,3123894,-10
contig1,3124197,3125507,10
contig1,3129242,3136781,-10
contig1,3137152,3138346,-10
contig1,3146211,3148454,-10
contig1,3148640,3149944,10
contig1,3150318,3154421,-10
contig1,3155069,3156742,-10
contig1,3156994,3159851,10
contig1,3160793,3162920,10
contig1,3164739,3167017,10
contig1,3167630,3169674,-10
contig1,3170130,3171395,10
contig1,3177396,3180694,-10
contig1,3181285,3183222,10
contig1,3183365,3184255,-10
contig1,3184955,3190154,-10
contig1,3190464,3193418,10
contig1,3199519,3203586,-10
contig1,3204259,3209193,-10
contig1,3210273,3212820,-10
contig1,3213038,3216150,10
contig1,3221955,3224307,-10
contig1,3226304,3228443,-10
contig1,3229240,3231108,-10
contig1,3231820,3232452,10
contig1,3235175,3245957,-10
contig1,3246761,3248206,10
contig1,3251275,3255174,-10
contig1,3255979,3262796,10
contig1,3266344,3270132,-10
contig1,3293340,3297811,10
contig1,3300969,3301952,10
contig1,3304081,3308224,10
contig1,3354773,3355651,-10
contig1,3356188,3368710,10
contig1,3369439,3370456,10
contig1,3372357,3373885,-10
contig1,3376734,3378692,-10
contig1,3384021,3385451,-10
contig1,3412737,3415383,-10
contig1,3416623,3422329,-10
contig1,3424268,3428811,-10
contig1,3429335,3437116,10
contig1,3446392,3448026,10
contig1,3448683,3449294,-10
contig1,3449440,3451663,10
contig1,3463047,3465043,10
contig1,3465225,3466211,-10
contig1,3466463,3467705,10
contig1,3468553,3470022,10
contig1,3470991,3471593,10
contig1,3472207,3473330,10
contig1,3474168,3475938,-10
contig1,3476230,3479441,10
contig1,3479853,3480758,-10
contig1,3481174,3482876,-10
contig1,3482998,3485309,10
contig1,3490009,3496874,-10
contig1,3496945,3500132,-10
contig1,3501952,3503235,10
contig1,3505685,3507545,-10
contig1,3508138,3512215,10
contig1,3518195,3520292,-10
contig1,3521067,3523187,10
contig1,3526130,3526959,10
contig1,3531286,3534898,-10
contig1,3535884,3542627,-10
contig1,3545080,3545653,10
contig1,3545678,3550321,10
contig1,3551151,3555791,10
contig1,3558249,3559064,-10
contig1,3561252,3562567,-10
contig1,3562813,3565214,10
contig1,3565409,3566715,-10
contig1,3567151,3568155,-10
contig1,3572120,3575828,10
contig1,3578154,3578693,-10
contig1,3579776,3580489,-10
contig1,3581059,3583306,-10
contig1,3585933,3587261,-10
contig1,3589402,3590337,-10
contig1,3590775,3593480,10
contig1,3594353,3594960,10
contig1,3595658,3597388,10
contig1,3613027,3614622,10
contig1,3616017,3620399,10
contig1,3631985,3634182,-10
contig1,3636300,3640915,-10
contig1,3642161,3643348,10
contig1,3643953,3648899,-10
contig1,3650067,3653326,10
contig1,3654804,3657417,-10
contig1,3659107,3660835,10
contig1,3661656,3665073,10
contig1,3670711,3672397,-10
contig1,3697550,3698049,10
contig1,3703317,3707928,-10
contig1,3710431,3712735,10
contig1,3713286,3715422,10
contig1,3716248,3718252,-10
contig1,3720470,3725178,10
contig1,3727442,3728881,10
contig1,3730096,3733974,-10
contig1,3737492,3740795,10
contig1,3747908,3749125,-10
contig1,3750072,3750671,-10
contig1,3751790,3753380,10
contig1,3757429,3759749,-10
contig1,3761264,3767351,10
contig1,3768525,3769985,-10
contig1,3770219,3772546,10
contig1,3773300,3777177,10
contig1,3779085,3781032,10
contig1,3782223,3784430,10
contig1,3784635,3786370,-10
contig1,3786751,3788830,-10
contig1,3789367,3791127,-10
contig1,3791615,3797503,10
contig1,3798556,3803256,-10
contig1,3803989,3806954,-10
contig1,3808292,3811061,-10
contig1,3811806,3813216,10
contig1,3817388,3818856,-10
contig1,3819088,3821751,10
contig1,3822154,3827475,10
contig1,3828279,3828924,10
contig1,3829200,3829601,-10
contig1,3830719,3831486,-10
contig1,3832081,3833034,-10
contig1,3833554,3835346,-10
contig1,3836174,3838386,10
contig1,3841927,3843122,-10
contig1,3844005,3845151,10
contig1,3845507,3845806,-10
contig1,3846876,3849498,-10
contig1,3851310,3852510,10
contig1,3853117,3854628,10
contig1,3855939,3858712,10
contig1,3859702,3868632,-10
contig1,3869844,3881688,-10
contig1,3882412,3884954,-10
contig1,3885937,3886302,-10
contig1,3886570,3888986,10
contig1,3890933,3892059,10
contig1,3895502,3897041,-10
contig1,3897334,3899672,10
contig1,3900757,3903776,10
contig1,3905477,3906440,10
contig1,3906904,3908023,-10
contig1,3908799,3909887,-10
contig1,3910298,3913166,10
contig1,3914001,3915855,10
contig1,3917497,3920119,10
contig1,3920462,3922153,-10
contig1,3922427,3923083,10
contig1,3924069,3926922,-10
contig1,3927103,3927873,10
contig1,3928806,3931542,10
contig1,3932193,3934150,10
contig1,3934684,3936864,-10
contig1,3982741,3994462,10
contig1,4014049,4016547,-10
contig1,4017150,4019167,-10
contig1,4020870,4024155,10
contig1,4025778,4032089,10
contig1,4033485,4035569,-10
contig1,4037793,4040299,10
contig1,4041539,4042939,-10
contig1,4044924,4046445,10
contig1,4046796,4052993,-10
contig1,4054886,4056538,-10
contig1,4057147,4059109,10
contig1,4060446,4062530,10
contig1,4064024,4067639,10
contig1,4068381,4069730,10
contig1,4071176,4072598,-10
contig1,4074001,4074747,-10
contig1,4075845,4085324,-10
contig1,4087155,4094682,-10
contig1,4095081,4096190,10
contig1,4096617,4097380,-10
contig1,4097591,4101415,10
contig1,4105397,4112242,-10
contig1,4113035,4117103,-10
contig1,4118253,4121595,-10
contig1,4122171,4127590,-10
contig1,4128553,4132221,10
contig1,4134626,4138400,10
contig1,4145786,4146831,-10
contig1,4148432,4149678,-10
contig1,4149966,4154100,10
contig1,4154388,4155438,10
contig1,4157822,4159761,-10
contig1,4160024,4161304,10
contig1,4161991,4165980,10
contig1,4166204,4168125,-10
contig1,4168335,4172305,10
contig1,4173227,4175026,-10
contig1,4176539,4178509,10
contig1,4179411,4180796,-10
contig1,4181526,4183545,10
contig1,4185483,4186391,-10
contig1,4186595,4189967,10
contig1,4190863,4191657,-10
contig1,4192063,4193593,10
contig1,4194496,4197537,10
contig1,4198705,4201618,-10
contig1,4202894,4211151,-10
contig1,4212867,4215929,10
contig1,4216406,4217763,-10
contig1,4218535,4222045,10
contig1,4223397,4224134,10
contig1,4225198,4228184,-10
contig1,4229379,4233685,10
contig1,4245265,4246432,-10
contig1,4247824,4249093,10
contig1,4250394,4251527,-10
contig1,4251717,4253621,10
contig1,4254268,4254561,-10
contig1,4256801,4257709,-10
contig1,4258208,4259458,-10
contig1,4260077,4261892,-10
contig1,4262007,4263698,10
contig1,4263947,4265497,-10
contig1,4265942,4274753,-10
contig1,4275232,4277870,10
contig1,4280198,4281247,-10
contig1,4281813,4282517,-10
contig1,4283284,4284145,-10
contig1,4286411,4295440,-10
contig1,4295976,4299530,10
contig1,4300207,4303458,10
contig1,4304442,4306333,-10
contig1,4306505,4309294,10
contig1,4310873,4312508,-10
contig1,4312942,4316019,10
contig1,4316466,4317644,10
contig1,4318288,4318809,10
contig1,4326947,4329641,-10
contig1,4331058,4333436,-10
contig1,4335176,4336064,10
contig1,4336615,4338027,-10
contig1,4338239,4339506,10
contig1,4340628,4348467,-10
contig1,4350234,4352927,10
contig1,4353753,4354721,-10
contig1,4355365,4359744,-10
contig1,4361028,4361765,-10
contig1,4362506,4368480,10
contig1,4371500,4373501,10
contig1,4376055,4377379,-10
contig1,4377519,4378940,10
contig1,4380169,4391290,-10
contig1,4392812,4394985,10
contig1,4396585,4397375,10
contig1,4397859,4399523,10
contig1,4400196,4402368,-10
contig1,4403662,4406682,-10
contig1,4407803,4409512,10
contig1,4410391,4412553,10
contig1,4413124,4414459,10
contig1,4415841,4418071,-10
contig1,4418314,4420013,10
contig1,4420662,4428031,10
contig1,4428543,4430642,10
contig1,4433510,4440882,10
contig1,4442530,4446165,10
contig1,4446991,4449366,-10
contig1,4449461,4451627,10
contig1,4452189,4455596,-10
contig1,4455909,4457525,10
contig1,4459059,4459868,10
contig1,4463032,4468707,-10
contig1,4469936,4473467,-10
contig1,4475044,4476714,-10
contig1,4477153,4480614,10
contig1,4482255,4487050,-10
contig1,4487397,4489005,10
contig1,4489606,4492625,10
contig1,4494491,4496002,10
contig1,4497241,4498290,10
contig1,4504067,4507056,10
contig1,4510786,4513269,-10
contig1,4513395,4514326,10
contig1,4514493,4515143,-10
contig1,4515369,4516856,10
