chr,start,end,value1,value2
Mt,225731,225773,Unknown,gpos100
Mt,236105,236163,Unknown,gpos100
Mt,236164,236206,Unknown,gpos100
Mt,265764,265806,Unknown,gpos100
Mt,266181,266278,Unknown,gpos100
Mt,283125,283227,Unknown,gpos100
Mt,290303,290341,Unknown,gpos100
Mt,293563,293641,Unknown,gpos100
Mt,341207,341371,Unknown,gpos100
Mt,347240,347352,Unknown,gpos100
Mt,349743,349772,Unknown,gpos100
contig1,6464,7108,Unknown,gpos100
contig1,6826,7339,Unknown,gpos100
contig1,7242,7551,DNA,gpos100
contig1,8034,8499,Unknown,gpos100
contig1,10388,10490,Unknown,gpos100
contig1,10996,12593,DNA,gpos100
contig1,12593,13058,Unknown,gpos100
contig1,13058,15494,DNA,gpos100
contig1,15495,16352,Unknown,gpos100
contig1,16353,16367,DNA,gpos100
contig1,16800,18281,Unknown,gpos100
contig1,18272,18371,Unknown,gpos100
contig1,18742,18897,Unknown,gpos100
contig1,18898,19550,Unknown,gpos100
contig1,21040,21504,Unknown,gpos100
contig1,23371,23411,Unknown,gpos100
contig1,23412,23922,Unknown,gpos100
contig1,23965,24309,Unknown,gpos100
contig1,24305,24450,Unknown,gpos100
contig1,24449,24656,Unknown,gpos100
contig1,24683,24738,Unknown,gpos100
contig1,47958,48010,Unknown,gpos100
contig1,70959,70996,Unknown,gpos100
contig1,83923,83956,Unknown,gpos100
contig1,83930,83968,Unknown,gpos100
contig1,148950,149001,Unknown,gpos100
contig1,164147,164279,Unknown,gpos100
contig1,181664,181875,LTR/Gypsy,gpos100
contig1,182432,183835,LTR/Gypsy,gpos100
contig1,184288,184372,Unknown,gpos100
contig1,188515,188584,Unknown,gpos100
contig1,225924,226039,Unknown,gpos100
contig1,226064,226146,Unknown,gpos100
contig1,226382,226679,Unknown,gpos100
contig1,267704,267799,Unknown,gpos100
contig1,271803,272088,LTR/Gypsy,gpos100
contig1,273315,275637,LTR/Gypsy,gpos100
contig1,275638,276599,Unknown,gpos100
contig1,276601,276840,LTR/Gypsy,gpos100
contig1,276845,279706,LTR/Gypsy,gpos100
contig1,279710,281130,Unknown,gpos100
contig1,280524,284502,Unknown,gpos100
contig1,284506,285950,Unknown,gpos100
contig1,285348,290116,Unknown,gpos100
contig1,290108,290179,LTR,gpos100
contig1,290117,290684,Unknown,gpos100
contig1,290614,291566,Unknown,gpos100
contig1,295930,296104,LTR/Gypsy,gpos100
contig1,296051,296344,Unknown,gpos100
contig1,296346,299849,LTR/Gypsy,gpos100
contig1,299848,301705,Unknown,gpos100
contig1,301703,302054,Unknown,gpos100
contig1,302040,302808,Unknown,gpos100
contig1,302813,304266,LTR/Gypsy,gpos100
contig1,304267,304415,Unknown,gpos100
contig1,304416,306040,LTR/Gypsy,gpos100
contig1,306003,306064,Unknown,gpos100
contig1,306041,309909,LTR/Gypsy,gpos100
contig1,309833,309926,LTR,gpos100
contig1,309910,315397,LTR/Gypsy,gpos100
contig1,315390,316334,LTR/Gypsy,gpos100
contig1,316335,316628,LTR/Gypsy,gpos100
contig1,316851,316996,Unknown,gpos100
contig1,317070,318243,Unknown,gpos100
contig1,318237,318281,Unknown,gpos100
contig1,318276,319079,Unknown,gpos100
contig1,319073,319698,LTR/Gypsy,gpos100
contig1,319458,319868,Unknown,gpos100
contig1,319868,320563,LTR/Gypsy,gpos100
contig1,320564,326593,LTR/Gypsy,gpos100
contig1,326594,326878,Unknown,gpos100
contig1,326675,329800,LTR/Gypsy,gpos100
contig1,329802,330068,LTR/Gypsy,gpos100
contig1,330067,330284,Unknown,gpos100
contig1,330344,330455,Unknown,gpos100
contig1,330439,331218,Unknown,gpos100
contig1,331206,334454,Unknown,gpos100
contig1,334017,334560,LTR/Gypsy,gpos100
contig1,334561,335539,LTR/Gypsy,gpos100
contig1,335609,335745,Unknown,gpos100
contig1,360982,361539,Unknown,gpos100
contig1,362869,363650,Unknown,gpos100
contig1,363784,363824,Unknown,gpos100
contig1,393029,393252,Unknown,gpos100
contig1,406954,407033,Unknown,gpos100
contig1,449077,449136,LINE,gpos100
contig1,449137,449152,Unknown,gpos100
contig1,480445,480540,Unknown,gpos100
contig1,480547,481015,Unknown,gpos100
contig1,496222,496262,Unknown,gpos100
contig1,509779,510009,LTR/Gypsy,gpos100
contig1,510068,513926,LTR/Gypsy,gpos100
contig1,513927,515502,LTR/Gypsy,gpos100
contig1,516383,516675,Unknown,gpos100
contig1,534308,534479,Unknown,gpos100
contig1,534478,534665,Unknown,gpos100
contig1,540274,540343,Unknown,gpos100
contig1,551495,551538,Unknown,gpos100
contig1,559895,560662,LTR/Gypsy,gpos100
contig1,560663,563852,LTR/Gypsy,gpos100
contig1,563852,564321,Unknown,gpos100
contig1,564317,565731,LTR/Gypsy,gpos100
contig1,565733,568143,LTR/Gypsy,gpos100
contig1,568143,571332,LTR/Gypsy,gpos100
contig1,571332,571801,Unknown,gpos100
contig1,571797,573211,LTR/Gypsy,gpos100
contig1,573213,575623,LTR/Gypsy,gpos100
contig1,575623,575864,LTR/Gypsy,gpos100
contig1,575864,578903,LTR/Gypsy,gpos100
contig1,578904,579085,LTR/Gypsy,gpos100
contig1,579086,579689,LTR,gpos100
contig1,579691,581622,LTR/Gypsy,gpos100
contig1,581624,581955,LTR/Gypsy,gpos100
contig1,586254,586304,Unknown,gpos100
contig1,586255,586311,Unknown,gpos100
contig1,588030,588230,Unknown,gpos100
contig1,588276,588357,Unknown,gpos100
contig1,607581,607657,Unknown,gpos100
contig1,607802,607848,Unknown,gpos100
contig1,632540,632574,Unknown,gpos100
contig1,677529,677712,Unknown,gpos100
contig1,683791,683939,Unknown,gpos100
contig1,685343,685429,Unknown,gpos100
contig1,686812,687029,Unknown,gpos100
contig1,687023,687753,Unknown,gpos100
contig1,716716,716993,Unknown,gpos100
contig1,717360,717517,LTR/Gypsy,gpos100
contig1,717722,717788,LTR/Gypsy,gpos100
contig1,717877,719936,LTR/Gypsy,gpos100
contig1,719913,719965,Unknown,gpos100
contig1,719936,726919,Unknown,gpos100
contig1,726920,726989,Unknown,gpos100
contig1,726990,727233,Unknown,gpos100
contig1,727204,727717,Unknown,gpos100
contig1,727717,729907,LTR/Gypsy,gpos100
contig1,729913,730101,Unknown,gpos100
contig1,760031,760129,Unknown,gpos100
contig1,798060,798846,LTR/Gypsy,gpos100
contig1,798356,801181,LTR/Gypsy,gpos100
contig1,801126,803690,LTR/Gypsy,gpos100
contig1,805836,805894,Unknown,gpos100
contig1,813522,813598,LINE,gpos100
contig1,819357,819473,Unknown,gpos100
contig1,820115,820217,Unknown,gpos100
contig1,820648,821336,Unknown,gpos100
contig1,821815,821944,Unknown,gpos100
contig1,829916,830238,Unknown,gpos100
contig1,878601,878731,Unknown,gpos100
contig1,878843,879202,Unknown,gpos100
contig1,898266,898623,Unknown,gpos100
contig1,917585,917623,Unknown,gpos100
contig1,926127,926466,Unknown,gpos100
contig1,940427,940524,Unknown,gpos100
contig1,940797,942989,DNA,gpos100
contig1,943007,943720,Unknown,gpos100
contig1,943713,943852,Unknown,gpos100
contig1,943956,946924,Unknown,gpos100
contig1,946920,948964,Unknown,gpos100
contig1,949057,949731,Unknown,gpos100
contig1,949835,950370,Unknown,gpos100
contig1,952109,952428,Unknown,gpos100
contig1,952973,953669,Unknown,gpos100
contig1,953387,954585,LTR/Gypsy,gpos100
contig1,955218,955342,LTR/Gypsy,gpos100
contig1,955598,957729,LTR/Gypsy,gpos100
contig1,957734,959495,LTR/Gypsy,gpos100
contig1,959496,960408,Unknown,gpos100
contig1,959995,962067,Unknown,gpos100
contig1,962020,962199,Unknown,gpos100
contig1,962144,962221,Unknown,gpos100
contig1,962222,962820,Unknown,gpos100
contig1,964194,964385,Unknown,gpos100
contig1,964386,965410,Unknown,gpos100
contig1,965411,965475,Unknown,gpos100
contig1,987213,987245,Unknown,gpos100
contig1,991857,992687,Unknown,gpos100
contig1,992521,992723,Unknown,gpos100
contig1,994718,995400,Unknown,gpos100
contig1,994912,995548,Unknown,gpos100
contig1,996381,996520,Unknown,gpos100
contig1,1000963,1001202,Unknown,gpos100
contig1,1001081,1001219,Unknown,gpos100
contig1,1009420,1009588,Unknown,gpos100
contig1,1034409,1034505,Unknown,gpos100
contig1,1048027,1048114,Unknown,gpos100
contig1,1093230,1093323,Unknown,gpos100
contig1,1115727,1119526,LTR/Gypsy,gpos100
contig1,1119527,1119708,LTR/Gypsy,gpos100
contig1,1119709,1120312,LTR,gpos100
contig1,1120314,1122264,LTR/Gypsy,gpos100
contig1,1122266,1122592,LTR/Gypsy,gpos100
contig1,1177797,1177858,Unknown,gpos100
contig1,1177838,1177974,Unknown,gpos100
contig1,1194471,1194525,Unknown,gpos100
contig1,1194870,1194903,Unknown,gpos100
contig1,1194880,1194909,Unknown,gpos100
contig1,1232412,1232444,Unknown,gpos100
contig1,1232416,1232452,Unknown,gpos100
contig1,1235773,1235841,LINE,gpos100
contig1,1236974,1237141,Unknown,gpos100
contig1,1237746,1238015,Unknown,gpos100
contig1,1238671,1238717,Unknown,gpos100
contig1,1238753,1239025,Unknown,gpos100
contig1,1238883,1239102,Unknown,gpos100
contig1,1239076,1239138,Unknown,gpos100
contig1,1239112,1239284,Unknown,gpos100
contig1,1242034,1242080,Unknown,gpos100
contig1,1246717,1246799,Unknown,gpos100
contig1,1247854,1248101,Unknown,gpos100
contig1,1248336,1248403,Unknown,gpos100
contig1,1251261,1251565,Unknown,gpos100
contig1,1252835,1252876,Unknown,gpos100
contig1,1252846,1252879,LINE,gpos100
contig1,1253469,1253526,Unknown,gpos100
contig1,1256613,1260082,Unknown,gpos100
contig1,1259638,1260594,Unknown,gpos100
contig1,1268782,1268880,Unknown,gpos100
contig1,1268896,1268950,Unknown,gpos100
contig1,1269959,1270023,Unknown,gpos100
contig1,1271709,1271858,Unknown,gpos100
contig1,1286600,1286730,Unknown,gpos100
contig1,1308097,1308164,Unknown,gpos100
contig1,1320543,1320617,LINE,gpos100
contig1,1338309,1338386,Unknown,gpos100
contig1,1384093,1384148,Unknown,gpos100
contig1,1395669,1395838,LTR/Gypsy,gpos100
contig1,1396536,1396765,Unknown,gpos100
contig1,1413243,1413581,Unknown,gpos100
contig1,1413585,1418341,LTR,gpos100
contig1,1418342,1426062,LTR/Gypsy,gpos100
contig1,1426085,1426774,LTR/Gypsy,gpos100
contig1,1426775,1428102,Unknown,gpos100
contig1,1427930,1428496,Unknown,gpos100
contig1,1428491,1428780,Unknown,gpos100
contig1,1428895,1428944,Unknown,gpos100
contig1,1431031,1432289,Unknown,gpos100
contig1,1432341,1432369,Unknown,gpos100
contig1,1447688,1447766,Unknown,gpos100
contig1,1455381,1455430,Unknown,gpos100
contig1,1459723,1459803,Unknown,gpos100
contig1,1461469,1461696,Unknown,gpos100
contig1,1464803,1464892,Unknown,gpos100
contig1,1466078,1466172,Unknown,gpos100
contig1,1483727,1483768,Unknown,gpos100
contig1,1502300,1502395,Unknown,gpos100
contig1,1508435,1508490,Unknown,gpos100
contig1,1525545,1525625,Unknown,gpos100
contig1,1528845,1528884,Unknown,gpos100
contig1,1529220,1529268,Unknown,gpos100
contig1,1536779,1536930,Unknown,gpos100
contig1,1541991,1542083,Unknown,gpos100
contig1,1548599,1548662,Unknown,gpos100
contig1,1552909,1554319,Unknown,gpos100
contig1,1554451,1554503,Unknown,gpos100
contig1,1564295,1564377,Unknown,gpos100
contig1,1579989,1580022,Unknown,gpos100
contig1,1579998,1580126,Unknown,gpos100
contig1,1580371,1580529,Unknown,gpos100
contig1,1580555,1580995,Unknown,gpos100
contig1,1582820,1582946,Unknown,gpos100
contig1,1583264,1583452,LTR/Gypsy,gpos100
contig1,1583453,1584110,Unknown,gpos100
contig1,1584112,1584212,Unknown,gpos100
contig1,1584125,1584524,LTR/Gypsy,gpos100
contig1,1584525,1585661,Unknown,gpos100
contig1,1585028,1586531,Unknown,gpos100
contig1,1586533,1586935,LTR/Gypsy,gpos100
contig1,1587311,1593686,LTR/Gypsy,gpos100
contig1,1593687,1593869,LTR/Gypsy,gpos100
contig1,1593870,1594530,Unknown,gpos100
contig1,1594532,1594614,Unknown,gpos100
contig1,1594615,1599828,LTR/Gypsy,gpos100
contig1,1599829,1599984,LTR/Gypsy,gpos100
contig1,1599985,1600365,LTR/Gypsy,gpos100
contig1,1600366,1602483,LTR/Gypsy,gpos100
contig1,1602487,1604185,LTR/Gypsy,gpos100
contig1,1604186,1605698,Unknown,gpos100
contig1,1605699,1606022,DNA,gpos100
contig1,1606112,1606541,DNA,gpos100
contig1,1606542,1610393,Unknown,gpos100
contig1,1610394,1618807,LTR/Gypsy,gpos100
contig1,1618807,1621182,LTR/Gypsy,gpos100
contig1,1621186,1621253,LINE,gpos100
contig1,1621335,1621443,Unknown,gpos100
contig1,1621432,1621485,Unknown,gpos100
contig1,1622628,1622942,LTR/Gypsy,gpos100
contig1,1623026,1623197,LTR/Gypsy,gpos100
contig1,1623359,1623803,Unknown,gpos100
contig1,1623850,1627773,LTR/Gypsy,gpos100
contig1,1627768,1627995,LTR/Gypsy,gpos100
contig1,1628052,1633351,LTR/Gypsy,gpos100
contig1,1633362,1633992,LTR/Gypsy,gpos100
contig1,1634194,1635667,Unknown,gpos100
contig1,1639435,1639498,Unknown,gpos100
contig1,1640481,1640526,Unknown,gpos100
contig1,1640528,1641114,LTR/Gypsy,gpos100
contig1,1641111,1641354,Unknown,gpos100
contig1,1641356,1641828,Unknown,gpos100
contig1,1641839,1642611,Unknown,gpos100
contig1,1642610,1642859,Unknown,gpos100
contig1,1642861,1643333,Unknown,gpos100
contig1,1643344,1644116,Unknown,gpos100
contig1,1644115,1644364,Unknown,gpos100
contig1,1644366,1644838,Unknown,gpos100
contig1,1644849,1645621,Unknown,gpos100
contig1,1645620,1645869,Unknown,gpos100
contig1,1645870,1652175,LTR/Gypsy,gpos100
contig1,1652176,1652536,LTR/Gypsy,gpos100
contig1,1652541,1652994,Unknown,gpos100
contig1,1667223,1667261,Unknown,gpos100
contig1,1672548,1672788,Unknown,gpos100
contig1,1672985,1674140,Unknown,gpos100
contig1,1675223,1675295,Unknown,gpos100
contig1,1679359,1679460,Unknown,gpos100
contig1,1689463,1689548,Unknown,gpos100
contig1,1689547,1689608,Unknown,gpos100
contig1,1690307,1690498,Unknown,gpos100
contig1,1690543,1691365,Unknown,gpos100
contig1,1693461,1693572,Unknown,gpos100
contig1,1694815,1694958,Unknown,gpos100
contig1,1695965,1696654,LTR/Gypsy,gpos100
contig1,1696677,1704358,LTR/Gypsy,gpos100
contig1,1706602,1706634,Unknown,gpos100
contig1,1706683,1706894,Unknown,gpos100
contig1,1708139,1711994,LTR/Gypsy,gpos100
contig1,1711995,1712176,LTR/Gypsy,gpos100
contig1,1712177,1712780,LTR,gpos100
contig1,1712782,1714730,LTR/Gypsy,gpos100
contig1,1714732,1715057,LTR/Gypsy,gpos100
contig1,1736737,1736839,Unknown,gpos100
contig1,1741545,1741751,Unknown,gpos100
contig1,1743093,1743368,LTR/Gypsy,gpos100
contig1,1743369,1743609,Unknown,gpos100
contig1,1743781,1743819,LTR/Gypsy,gpos100
contig1,1744038,1748741,LTR/Gypsy,gpos100
contig1,1751857,1751909,Unknown,gpos100
contig1,1759704,1759781,Unknown,gpos100
contig1,1761961,1762031,Unknown,gpos100
contig1,1764257,1764367,Unknown,gpos100
contig1,1781584,1782299,LINE,gpos100
contig1,1795032,1795407,Unknown,gpos100
contig1,1821308,1821456,Unknown,gpos100
contig1,1831665,1831983,Unknown,gpos100
contig1,1843173,1843293,Unknown,gpos100
contig1,1850300,1850417,Unknown,gpos100
contig1,1864039,1864170,Unknown,gpos100
contig1,1870369,1870445,Unknown,gpos100
contig1,1873935,1873999,Unknown,gpos100
contig1,1873951,1874055,Unknown,gpos100
contig1,1881845,1881931,Unknown,gpos100
contig1,1894864,1894907,Unknown,gpos100
contig1,1894980,1895106,Unknown,gpos100
contig1,1896289,1896430,Unknown,gpos100
contig1,1900010,1900108,Unknown,gpos100
contig1,1902057,1902121,Unknown,gpos100
contig1,1908810,1909102,Unknown,gpos100
contig1,1909414,1909781,Unknown,gpos100
contig1,1911866,1911949,Unknown,gpos100
contig1,1937587,1937652,Unknown,gpos100
contig1,1939893,1939968,Unknown,gpos100
contig1,1945533,1945660,Unknown,gpos100
contig1,1946595,1946713,Unknown,gpos100
contig1,1952672,1952709,Unknown,gpos100
contig1,1957721,1957943,Unknown,gpos100
contig1,1959760,1959941,Unknown,gpos100
contig1,1959854,1960056,Unknown,gpos100
contig1,1960056,1960163,Unknown,gpos100
contig1,1960638,1961190,Unknown,gpos100
contig1,1961262,1961355,Unknown,gpos100
contig1,1963743,1963803,Unknown,gpos100
contig1,1971684,1971802,Unknown,gpos100
contig1,1972051,1972314,Unknown,gpos100
contig1,1990330,1990401,Unknown,gpos100
contig1,1994182,1994313,Unknown,gpos100
contig1,1994894,1994997,Unknown,gpos100
contig1,2032239,2032396,Unknown,gpos100
contig1,2039139,2039260,Unknown,gpos100
contig1,2044569,2044629,Unknown,gpos100
contig1,2072598,2072683,Unknown,gpos100
contig1,2072682,2072749,Unknown,gpos100
contig1,2072759,2072821,Unknown,gpos100
contig1,2072806,2072898,Unknown,gpos100
contig1,2072836,2072984,Unknown,gpos100
contig1,2072898,2073027,Unknown,gpos100
contig1,2073122,2073228,Unknown,gpos100
contig1,2073225,2073274,Unknown,gpos100
contig1,2073261,2073296,Unknown,gpos100
contig1,2093149,2093577,LTR,gpos100
contig1,2094016,2094724,LTR,gpos100
contig1,2111549,2111871,Unknown,gpos100
contig1,2120608,2121161,Unknown,gpos100
contig1,2121164,2121545,Unknown,gpos100
contig1,2121526,2121900,Unknown,gpos100
contig1,2122050,2122775,Unknown,gpos100
contig1,2122850,2129250,Unknown,gpos100
contig1,2129340,2130350,Unknown,gpos100
contig1,2130484,2130502,Unknown,gpos100
contig1,2130561,2130666,Unknown,gpos100
contig1,2130664,2130923,Unknown,gpos100
contig1,2131772,2131810,Unknown,gpos100
contig1,2132753,2132839,Unknown,gpos100
contig1,2150808,2151133,LTR/Gypsy,gpos100
contig1,2151135,2153085,LTR/Gypsy,gpos100
contig1,2153087,2153690,LTR,gpos100
contig1,2153691,2153872,LTR/Gypsy,gpos100
contig1,2153873,2157671,LTR/Gypsy,gpos100
contig1,2159766,2159849,Unknown,gpos100
contig1,2161087,2161200,Unknown,gpos100
contig1,2173500,2174028,LTR/Gypsy,gpos100
contig1,2174029,2175053,Unknown,gpos100
contig1,2175053,2175836,LTR/Gypsy,gpos100
contig1,2175834,2176027,Unknown,gpos100
contig1,2176076,2183340,Unknown,gpos100
contig1,2183389,2183413,Unknown,gpos100
contig1,2183550,2186473,LTR,gpos100
contig1,2186474,2187040,Unknown,gpos100
contig1,2189819,2189864,Unknown,gpos100
contig1,2196785,2197071,Unknown,gpos100
contig1,2199418,2199467,Unknown,gpos100
contig1,2220717,2221128,Unknown,gpos100
contig1,2221273,2221323,Unknown,gpos100
contig1,2223854,2224319,Unknown,gpos100
contig1,2226600,2226691,Unknown,gpos100
contig1,2239654,2239713,Unknown,gpos100
contig1,2239714,2239729,Unknown,gpos100
contig1,2256690,2256816,Unknown,gpos100
contig1,2257576,2257775,Unknown,gpos100
contig1,2260152,2260206,Unknown,gpos100
contig1,2269793,2269831,Unknown,gpos100
contig1,2301327,2301439,Unknown,gpos100
contig1,2304423,2304558,Unknown,gpos100
contig1,2306465,2306815,Unknown,gpos100
contig1,2309324,2309565,Unknown,gpos100
contig1,2311170,2313532,LTR,gpos100
contig1,2313649,2314599,LTR,gpos100
contig1,2315304,2315538,LTR,gpos100
contig1,2318103,2318224,Unknown,gpos100
contig1,2354498,2354893,Unknown,gpos100
contig1,2355823,2355921,Unknown,gpos100
contig1,2355956,2356280,Unknown,gpos100
contig1,2358122,2358603,Unknown,gpos100
contig1,2380135,2380235,Unknown,gpos100
contig1,2380271,2380477,Unknown,gpos100
contig1,2380518,2380628,Unknown,gpos100
contig1,2382508,2382962,Unknown,gpos100
contig1,2384605,2384657,Unknown,gpos100
contig1,2387789,2387840,Unknown,gpos100
contig1,2395775,2395818,Unknown,gpos100
contig1,2396738,2396926,Unknown,gpos100
contig1,2397017,2397046,Unknown,gpos100
contig1,2405217,2405285,LINE,gpos100
contig1,2434577,2434608,Unknown,gpos100
contig1,2434585,2434712,Unknown,gpos100
contig1,2435750,2435851,Unknown,gpos100
contig1,2435886,2436200,Unknown,gpos100
contig1,2438111,2438220,Unknown,gpos100
contig1,2438255,2438588,Unknown,gpos100
contig1,2496331,2496391,LINE,gpos100
contig1,2506993,2507102,Unknown,gpos100
contig1,2509091,2509194,Unknown,gpos100
contig1,2509195,2509267,Unknown,gpos100
contig1,2509244,2509571,Unknown,gpos100
contig1,2517607,2518084,Unknown,gpos100
contig1,2519971,2520283,Unknown,gpos100
contig1,2520318,2520418,Unknown,gpos100
contig1,2534961,2535236,Unknown,gpos100
contig1,2543473,2543635,Unknown,gpos100
contig1,2555299,2555450,Unknown,gpos100
contig1,2573840,2573889,Unknown,gpos100
contig1,2578745,2578825,Unknown,gpos100
contig1,2581028,2581154,Unknown,gpos100
contig1,2586652,2586724,Unknown,gpos100
contig1,2586700,2586740,Unknown,gpos100
contig1,2590230,2590381,LTR/Gypsy,gpos100
contig1,2591221,2591316,Unknown,gpos100
contig1,2594075,2594788,Unknown,gpos100
contig1,2594546,2594931,Unknown,gpos100
contig1,2595852,2595973,Unknown,gpos100
contig1,2611087,2611139,Unknown,gpos100
contig1,2613391,2613494,Unknown,gpos100
contig1,2620604,2620643,Unknown,gpos100
contig1,2620683,2620809,Unknown,gpos100
contig1,2633195,2633496,Unknown,gpos100
contig1,2633565,2633659,Unknown,gpos100
contig1,2645955,2646029,Unknown,gpos100
contig1,2646030,2646046,Unknown,gpos100
contig1,2648033,2652691,LTR/Gypsy,gpos100
contig1,2656810,2656841,Unknown,gpos100
contig1,2656819,2656908,Unknown,gpos100
contig1,2656916,2657109,Unknown,gpos100
contig1,2657093,2657147,Unknown,gpos100
contig1,2657123,2657168,Unknown,gpos100
contig1,2667237,2667387,Unknown,gpos100
contig1,2677571,2677637,Unknown,gpos100
contig1,2679674,2679923,LTR,gpos100
contig1,2700649,2700822,Unknown,gpos100
contig1,2706123,2706201,Unknown,gpos100
contig1,2707509,2707638,Unknown,gpos100
contig1,2736858,2738229,LTR/Gypsy,gpos100
contig1,2738230,2738430,Unknown,gpos100
contig1,2738490,2744332,LTR/Gypsy,gpos100
contig1,2744734,2745740,Unknown,gpos100
contig1,2745741,2745978,LTR/Gypsy,gpos100
contig1,2746175,2747543,Unknown,gpos100
contig1,2748552,2751337,LTR/Gypsy,gpos100
contig1,2751403,2755939,LTR/Gypsy,gpos100
contig1,2755942,2755995,Unknown,gpos100
contig1,2758701,2758819,Unknown,gpos100
contig1,2782181,2782301,Unknown,gpos100
contig1,2788230,2788409,Unknown,gpos100
contig1,2790169,2790259,Unknown,gpos100
contig1,2794463,2794502,Unknown,gpos100
contig1,2821219,2821356,Unknown,gpos100
contig1,2826887,2827144,Unknown,gpos100
contig1,2827503,2827793,Unknown,gpos100
contig1,2827875,2827953,Unknown,gpos100
contig1,2828013,2828403,Unknown,gpos100
contig1,2830852,2831084,Unknown,gpos100
contig1,2831136,2831341,Unknown,gpos100
contig1,2864848,2864911,Unknown,gpos100
contig1,2865460,2865660,Unknown,gpos100
contig1,2882215,2882524,Unknown,gpos100
contig1,2884297,2884425,Unknown,gpos100
contig1,2923795,2923931,Unknown,gpos100
contig1,2951833,2951938,Unknown,gpos100
contig1,2959058,2959164,Unknown,gpos100
contig1,2961752,2962210,Unknown,gpos100
contig1,2962217,2962310,Unknown,gpos100
contig1,2972253,2972310,LINE,gpos100
contig1,2989140,2989615,Unknown,gpos100
contig1,2991382,2991712,Unknown,gpos100
contig1,2991749,2991853,Unknown,gpos100
contig1,2998343,2998621,Unknown,gpos100
contig1,3038399,3038479,Unknown,gpos100
contig1,3040126,3040540,Unknown,gpos100
contig1,3052654,3052830,Unknown,gpos100
contig1,3052801,3052854,LTR/Gypsy,gpos100
contig1,3073436,3073596,Unknown,gpos100
contig1,3082712,3082777,Unknown,gpos100
contig1,3085679,3085745,Unknown,gpos100
contig1,3095132,3095292,Unknown,gpos100
contig1,3095875,3096691,Unknown,gpos100
contig1,3097826,3097924,Unknown,gpos100
contig1,3101200,3101268,Unknown,gpos100
contig1,3120165,3120295,Unknown,gpos100
contig1,3127889,3128036,Unknown,gpos100
contig1,3128073,3128279,Unknown,gpos100
contig1,3140094,3140331,Unknown,gpos100
contig1,3140395,3141855,Unknown,gpos100
contig1,3142558,3142627,Unknown,gpos100
contig1,3142990,3143113,Unknown,gpos100
contig1,3144813,3144885,Unknown,gpos100
contig1,3144886,3145099,Unknown,gpos100
contig1,3145163,3145385,Unknown,gpos100
contig1,3145479,3145520,Unknown,gpos100
contig1,3160299,3160737,Unknown,gpos100
contig1,3163127,3163267,Unknown,gpos100
